count,left,right
1,-7.271175861358643,-7.071071162223816
1,-7.071071162223816,-6.8709664630889895
1,-6.8709664630889895,-6.6708617639541625
0,-6.6708617639541625,-6.470757064819336
3,-6.470757064819336,-6.2706523656845095
1,-6.2706523656845095,-6.0705476665496825
0,-6.0705476665496825,-5.870442967414856
1,-5.870442967414856,-5.670338268280029
7,-5.670338268280029,-5.470233569145202
5,-5.470233569145202,-5.270128870010376
9,-5.270128870010376,-5.070024170875549
12,-5.070024170875549,-4.869919471740722
12,-4.869919471740722,-4.669814772605896
130,-4.669814772605896,-4.469710073471069
30,-4.469710073471069,-4.269605374336242
32,-4.269605374336242,-4.069500675201416
50,-4.069500675201416,-3.8693959760665897
76,-3.8693959760665897,-3.669291276931763
87,-3.669291276931763,-3.469186577796936
127,-3.469186577796936,-3.26908187866211
154,-3.26908187866211,-3.068977179527283
221,-3.068977179527283,-2.868872480392456
291,-2.868872480392456,-2.66876778125763
311,-2.66876778125763,-2.468663082122803
477,-2.468663082122803,-2.268558382987976
535,-2.268558382987976,-2.06845368385315
703,-2.06845368385315,-1.868348984718323
841,-1.868348984718323,-1.668244285583496
960,-1.668244285583496,-1.46813958644867
1068,-1.46813958644867,-1.268034887313843
1132,-1.268034887313843,-1.0679301881790169
1363,-1.0679301881790169,-0.8678254890441899
1349,-0.8678254890441899,-0.6677207899093629
1468,-0.6677207899093629,-0.4676160907745368
1425,-0.4676160907745368,-0.26751139163970983
1463,-0.26751139163970983,-0.06740669250488374
1427,-0.06740669250488374,0.13269800662994324
1361,0.13269800662994324,0.3328027057647702
1358,0.3328027057647702,0.5329074048995963
1308,0.5329074048995963,0.7330121040344224
1079,0.7330121040344224,0.9331168031692503
1018,0.9331168031692503,1.1332215023040764
994,1.1332215023040764,1.3333262014389025
903,1.3333262014389025,1.5334309005737303
862,1.5334309005737303,1.7335355997085564
722,1.7335355997085564,1.9336402988433825
697,1.9336402988433825,2.1337449979782104
640,2.1337449979782104,2.3338496971130365
592,2.3338496971130365,2.5339543962478626
549,2.5339543962478626,2.7340590953826904
478,2.7340590953826904,2.9341637945175165
427,2.9341637945175165,3.1342684936523426
417,3.1342684936523426,3.3343731927871705
368,3.3343731927871705,3.5344778919219966
343,3.5344778919219966,3.7345825910568227
291,3.7345825910568227,3.9346872901916505
260,3.9346872901916505,4.134791989326477
228,4.134791989326477,4.334896688461303
222,4.334896688461303,4.535001387596129
159,4.535001387596129,4.735106086730957
149,4.735106086730957,4.935210785865783
125,4.935210785865783,5.135315485000609
95,5.135315485000609,5.335420184135437
104,5.335420184135437,5.535524883270263
71,5.535524883270263,5.735629582405089
65,5.735629582405089,5.935734281539917
53,5.935734281539917,6.135838980674743
47,6.135838980674743,6.335943679809569
38,6.335943679809569,6.536048378944397
29,6.536048378944397,6.736153078079223
27,6.736153078079223,6.936257777214049
21,6.936257777214049,7.136362476348875
14,7.136362476348875,7.336467175483703
19,7.336467175483703,7.536571874618529
15,7.536571874618529,7.736676573753355
11,7.736676573753355,7.936781272888183
14,7.936781272888183,8.13688597202301
16,8.13688597202301,8.336990671157835
5,8.336990671157835,8.537095370292663
4,8.537095370292663,8.737200069427487
3,8.737200069427487,8.937304768562317
4,8.937304768562317,9.137409467697143
3,9.137409467697143,9.33751416683197
2,9.33751416683197,9.537618865966795
3,9.537618865966795,9.737723565101621
3,9.737723565101621,9.937828264236447
1,9.937828264236447,10.137932963371277
1,10.137932963371277,10.338037662506103
2,10.338037662506103,10.53814236164093
0,10.53814236164093,10.738247060775755
0,10.738247060775755,10.938351759910582
1,10.938351759910582,11.138456459045408
0,11.138456459045408,11.338561158180237
2,11.338561158180237,11.538665857315063
1,11.538665857315063,11.73877055644989
1,11.73877055644989,11.938875255584716
0,11.938875255584716,12.138979954719542
0,12.138979954719542,12.339084653854368
0,12.339084653854368,12.539189352989194
2,12.539189352989194,12.739294052124023
